,GLD,GLD
2010-11-03,1,-0.006943906187646589
2010-11-04,1,0.03389823825188123
2010-11-05,1,0.0025730067386348773
2010-11-08,1,0.010265389693213094
2010-11-09,1,-0.01589492278131247
2010-11-10,1,0.012169106865093576
2010-11-11,1,0.0030603188001637953
2010-11-12,1,-0.028839177067346393
2010-11-15,1,-0.009499620384983955
2010-11-16,1,-0.010949984657092647
2010-11-17,1,-0.004504820435149856
2010-11-18,1,0.013115442483800265
2010-11-19,1,0.0008327701824608827
2010-11-22,1,0.009682290535891685
2010-11-23,1,0.006967395597379668
2010-11-24,1,-0.0017112638945114907
2010-11-26,1,-0.00797430409774359
2010-11-29,1,0.0030049875640468494
2010-11-30,1,0.01430607250913773
2010-12-01,1,
